"","Season","SexRepro","AgeClass","SampleTimeHour","Strongyles","Coccidia","Capillaria","Nematodirus","TrichurisBin","StrongylesBin","CoccidiaBin","CapillariaBin","NematodirusBin","StrongyloidesBin","MonieziaBin","Id","Sex","Age","logStrongyles","logNematodirus","logCapillaria","logCoccidia","SampleTimeScale","AgeScale","obs"
"289","Spring19","FemaleLamb","Adult",14,8,405,0,0,0,1,1,0,0,0,0,"8766","Female",7,2.19722457733622,0,0,6.00635315960173,0.772655242223513,1.0001750192973,"289"
"290","Spring19","FemaleLamb","Adult",14,8,105,0,0,0,1,1,0,0,0,0,"9833","Female",5,2.19722457733622,0,0,4.66343909411207,0.772655242223513,0.370879808166466,"290"
"291","Spring19","FemaleLamb","Adult",15,192,162,0,2,0,1,1,0,1,0,1,"7115","Female",10,5.26269018890489,1.09861228866811,0,5.09375020080676,1.20186027359809,1.94411783599356,"291"
"292","Spring19","FemaleLamb","Adult",15,39,135,0,0,0,1,1,0,0,0,0,"9169","Female",6,3.68887945411394,0,0,4.91265488573605,1.20186027359809,0.685527413731884,"292"
"293","Spring19","FemaleLamb","Adult",15,90,84,0,0,0,1,1,0,0,0,1,"10315","Female",4,4.51085950651685,0,0,4.44265125649032,1.20186027359809,0.0562322026010486,"293"
"294","Spring19","Male","Adult",15,93,132,0,0,0,1,1,0,0,0,1,"10258","Male",4,4.54329478227,0,0,4.89034912822175,1.20186027359809,0.0562322026010486,"294"
"295","Spring19","Male","Adult",15,78,0,0,0,0,1,0,0,0,1,0,"10659","Male",3,4.36944785246702,0,0,0,1.20186027359809,-0.258415402964369,"295"
"296","Spring19","FemaleLamb","Adult",15,75,93,0,0,0,1,1,0,0,0,0,"8258","Female",8,4.33073334028633,0,0,4.54329478227,1.20186027359809,1.31482262486272,"296"
"297","Spring19","FemaleLamb","Adult",15,36,1032,0,0,0,1,1,0,0,0,0,"8751","Female",7,3.61091791264422,0,0,6.94022246911964,1.20186027359809,1.0001750192973,"297"
"298","Spring19","FemaleLamb","Adult",15,303,90,0,0,0,1,1,0,0,0,0,"10220","Female",4,5.71702770140622,0,0,4.51085950651685,1.20186027359809,0.0562322026010486,"298"
"299","Spring19","FemaleLamb","Adult",15,42,1386,0,0,0,1,1,0,0,0,0,"7205","Female",10,3.76120011569356,0,0,7.23489842031483,1.20186027359809,1.94411783599356,"299"
"300","Spring19","Male","Adult",9,78,279,0,0,0,1,1,0,0,0,1,"10525","Male",3,4.36944785246702,0,0,5.63478960316925,-1.37336991464938,-0.258415402964369,"300"
"301","Spring19","Male","Adult",9,159,936,0,0,0,1,1,0,0,0,0,"10552","Male",3,5.07517381523383,0,0,6.84268328223842,-1.37336991464938,-0.258415402964369,"301"
"302","Spring19","FemaleNoLamb","Adult",9,21,69,0,0,0,1,1,0,0,0,0,"7336","Female",10,3.09104245335832,0,0,4.24849524204936,-1.37336991464938,1.94411783599356,"302"
